country,elec_con,boradband_sub,internet_usr,import,export,gdp_per_capita
United Arab Emirates,11984.9050182209,4.9351479877817,52,50.8453028378637,68.6311120482932,42950.1005841305
Argentina,2357.96126015104,4.06195626383422,20.9272021035896,15.5525939652822,20.3417303814157,6649.41353400338
Bahrain,21904.5756413636,4.06203894837904,28.2439524318043,62.4642492706133,84.6376061742767,19669.3195545631
Brunei Darussalam,8480.23903300285,2.39233300506809,42.1863491609307,25.2164514040536,71.7246979556453,31157.0348736991
Cyprus,4226.8716856833,6.0176626468787,35.83,56.9519533741247,53.9868154350338,26455.1323679197
Hong Kong SAR China,5882.80760088084,25.9922661634449,60.8,190.639045705228,201.800710545974,28224.0939572735
Croatia,3635.81081081081,5.75069525631589,37.98,46.4024562130439,39.6631537476608,11359.5257870499
Kuwait,17648.0582950896,1.24097962931938,28.7911979549612,24.1669494401086,65.5446216491347,42502.221520042
Lithuania,3353.3043274293,11.3842422191546,43.9,65.8996146051364,55.6945413468886,9240.29705866855
Latvia,2966.60997305664,4.99117349509115,53.63,60.730982958039,40.0294666991496,9746.23508980645
Malta,4897.51004174603,12.7100416722678,40.41,91.021244728233,86.4865397501084,15705.3402150582
Oman,4257.89229631672,0.785352097240406,8.299716672503,31.6642789755058,56.1724728327335,14575.1603991844
Qatar,16051.4260740069,4.83390898323898,28.9741127135829,35.7531891467481,62.8177301668239,61593.6729672606
Russian Federation,6098.53812310377,2.01788229195774,18.0232774617216,21.0029264232118,33.7304754438509,6920.19439783608
Saudi Arabia,6594.65143854873,0.859910729713334,19.4595543513634,30.1126964323542,59.8319082445442,14826.9166983811
Singapore,8520.01635843141,17.0751423289723,59,200.254093299551,230.10351949241,33578.88807132
Trinidad and Tobago,5307.17704377347,1.58138457265869,30.0037485791676,37.2622918301696,81.4093884485688,14096.0231765272
Uruguay,2220.92733172603,3.20045210267079,29.4,31.674070108922,30.2975043944294,5877.87960762231
Venezuela RB,2958.42641632479,1.97723633974065,15.2247114771787,22.1469699505166,36.5186216079437,6740.23677858669
Australia,10490.4362278299,18.6910665280716,66,21.4032914883042,19.596119314447,36100.558521619
Austria,8223.84234603969,17.3001330249754,63.6,47.3986220250828,50.8316258753068,40430.993614499
Belgium,8683.67128500132,23.1549611526776,59.72,71.9037902299553,75.6763031206471,38936.3309077166
Canada,16923.194773922,24.6665356678596,72.4,32.76798048043,35.4550150041899,40243.5522837141
Switzerland,8360.44251592812,27.4009387921975,75.7,48.2205448767146,56.7180995359074,57348.9244401324
Chile,3237.21624833044,6.17721316511285,34.4977511736017,29.510923887342,42.4338299506825,9500.83516202761
Czech Republic,6528.53015044089,10.8273496613984,47.93,62.5471075930725,65.2916301101955,15159.1411456575
Germany,7212.43744768757,17.8852949443626,72.16,35.941720358129,41.2379717178479,36401.4225071544
Denmark,6824.74593877224,31.8937981662303,86.65,46.6129993647164,50.5346425682811,52041.0029728889
Spain,6105.07584928721,15.3027844572934,50.37,30.787302053426,24.8719709040114,28482.6094833461
Estonia,5869.42478894573,18.7126628164681,63.51,73.6529072347981,63.5056961088919,12591.9589912815
Finland,17212.9485244579,27.1269863778487,79.66,39.0118993824371,43.1708899625755,41120.6765061581
France,7535.75339206747,20.5529159649622,46.87,28.0113982496856,27.1758467614219,36544.5085344191
United Kingdom,6200.5541127704,21.4661915236603,68.82,30.1777554878944,27.8112680109936,42446.7955745067
Greece,5382.03497913856,4.41691365421478,32.25,31.738622461042,21.18619752514,24557.8776127202
Hungary,3882.4906641301,11.9002478610486,47.06,75.7354129107142,74.6275321851261,11342.8905545968
Ireland,6351.09911079465,13.2912015416563,54.82,67.2488778793116,76.572220601744,53944.022309315
Iceland,31328.3868036948,29.1785974399138,89.51,48.1009472974651,31.0760062692111,56293.7902258466
Israel,6711.22956746105,21.0245635257705,27.8810744577346,40.9454646239489,41.0418804326033,21581.7180439552
Italy,5833.45009807464,14.3833288553756,37.99,27.0518232777429,26.2158692166477,33426.1660580163
Japan,8246.6250567053,20.7957327907543,68.6852703213795,14.9148685480385,16.1716010081174,34075.9789494111
Korea Rep.,8050.8235083203,29.6939210480803,78.1,36.3850863087863,37.1662636873734,20917.0298909073
Luxembourg,16456.6041169016,21.2200965661324,72.51,145.142296074322,176.991814747867,88400.2032742286
Netherlands,7054.83221962228,31.7065174107692,83.7,61.1601132804598,69.2728496592518,44011.2826697796
Norway,24099.9322630596,26.6553637200687,82.55,27.7238601154149,44.6648147078154,74114.697150083
New Zealand,9700.09080915739,11.2353107034136,69,30.0219496809964,29.6355026197631,26630.3566819526
Poland,3584.96218806785,7.62198140066586,44.58,40.1003934439157,38.2003907214453,8999.73962660636
Portugal,4827.46718204254,13.5116959283556,38.01,38.1559675353852,29.9170459678782,19821.4428384484
Slovak Republic,5153.12148361062,5.64374005538967,56.08,85.1812543294649,81.1950302639616,13111.7716632451
Slovenia,7123.53777129338,13.9277743156419,54.01,64.7432769034777,64.6954245549098,19726.1382483059
Sweden,15262.5872679989,27.3827111788461,87.76,40.5994873964249,48.1899956793643,46256.4716010495
United States,13583.2669593387,20.0163212347676,68.9311932699721,16.2188089280167,10.6548205355009,46437.0671173065
Benin,73.0720842491524,0.0177410986287836,1.53785434624704,27.7380375560045,18.4750053656229,557.229411192902
Ethiopia,37.3655271260455,0.000333373146517153,0.310592656856176,36.3074427724057,13.7780156489408,194.077993734645
Cambodia,80.4414817794129,0.0213942342096166,0.468356720063827,76.0220710155392,68.5940234701709,537.842479666876
Nepal,84.7084926835123,0.00375672304208899,1.14138916388191,31.3153662220754,13.4466062462925,350.608465014195
Tanzania,64.1814614580761,0.00750581832359526,1.3,25.005391130283,17.1008339583274,479.703658384376
Zimbabwe,807.361885054032,0.0801615301987346,9.79184150186944,46.8644802486601,35.9561685274509,414.680115131526
Bolivia,512.638493991121,0.184808973463852,6.20067125473576,32.7661345975672,41.771714513684,1233.59297372996
Cote d'Ivoire,184.351819435615,0.056617392738491,1.52490079122527,42.7021410181536,52.3675889362035,962.91842504167
Cameroon,240.736342406769,0.00226198917393714,2.0287447914719,20.9532582135755,23.0043691198248,965.368688278105
Egypt Arab Rep.,1343.76874198165,0.354190066319907,13.66,31.568722747352,29.9498138885135,1409.17787226409
